First Name,Last Name,Title,Inventory ID,Year,Materials,Dimension: Dimension 1 - Height,Dimension: Dimension 1 - Width,Dimension: Dimension 1 - Depth,Dimension: Dimension 1 - Units,Dimension: Dimension 1 - Notes,Object Status,Location,Price: Price 1,Price: Price 1 - Notes,Price: Price 2,Price: Price 2 - Notes,Price: Price 3,Price: Price 3 - Notes,Cost 1 - Type,Cost 1 - Amount,Cost 1 - Currency,Cost 1 - Date,Cost 1 - Notes,Payable 1 - Amount,Payable 1 - Currency,Payable 1 - Date,Payable 1 - Notes,Payable 1 - Paid?,Insurance 1 - Amount,Insurance 1 - Currency,Insurance 1 - Date,Insurance 1 - Notes,Appraisal 1 - Amount,Appraisal 1 - Currency,Appraisal 1 - Date,Appraisal 1 - Notes,Additional Info
,,"Table lamp ""Alda"" by Gaetano Pesce",1575                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Table lamp ""Alda"" by Gaetano Pesce",1576                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1577                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1578                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,158                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bed headboards by Gio Ponti,1593                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Three pair of clothes closet doors by Gio Ponti,1594                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1598                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1599                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Desk - Vanity by Gio Ponti,1600                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Console table by Gio Ponti Italy, 1960",1601                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1692                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Angarna carpet by Marta Maas-Fjetterstorm,170                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1766                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1767                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1768                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Square Dance carpet by Ross Litell,179                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1812                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pair of chairs by Piero Fornasetti.,1826                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet by Edward Field,189                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Four wall lamps by Charlotte Perriand,1897                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1923                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1932                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
